,Energy & Utilities
2018-12-30,49
2019-01-06,63
2019-01-13,51
2019-01-20,52
2019-01-27,48
2019-02-03,54
2019-02-10,62
2019-02-17,61
2019-02-24,61
2019-03-03,57
2019-03-10,45
2019-03-17,72
2019-03-24,65
2019-03-31,48
2019-04-07,53
2019-04-14,44
2019-04-21,52
2019-04-28,46
2019-05-05,38
2019-05-12,38
2019-05-19,45
2019-05-26,49
2019-06-02,40
2019-06-09,65
2019-06-16,62
2019-06-23,56
2019-06-30,73
2019-07-07,54
2019-07-14,59
2019-07-21,56
2019-07-28,49
2019-08-04,56
2019-08-11,46
2019-08-18,70
2019-08-25,50
2019-09-01,50
2019-09-08,58
2019-09-15,51
2019-09-22,46
2019-09-29,62
2019-10-06,58
2019-10-13,62
2019-10-20,55
2019-10-27,41
2019-11-03,49
2019-11-10,41
2019-11-17,47
2019-11-24,38
2019-12-01,40
2019-12-08,49
2019-12-15,51
2019-12-22,55
2019-12-29,44
2020-01-05,46
2020-01-12,45
2020-01-19,56
2020-01-26,56
2020-02-02,55
2020-02-09,48
2020-02-16,43
2020-02-23,53
2020-03-01,63
2020-03-08,61
2020-03-15,57
2020-03-22,38
2020-03-29,38
2020-04-05,32
2020-04-12,47
2020-04-19,42
2020-04-26,31
2020-05-03,31
2020-05-10,33
2020-05-17,31
2020-05-24,28
2020-05-31,38
2020-06-07,28
2020-06-14,45
2020-06-21,51
2020-06-28,43
2020-07-05,53
2020-07-12,54
2020-07-19,51
2020-07-26,32
2020-08-02,45
2020-08-09,61
2020-08-16,52
2020-08-23,39
2020-08-30,41
2020-09-06,39
2020-09-13,45
2020-09-20,40
2020-09-27,57
2020-10-04,51
2020-10-11,52
2020-10-18,50
2020-10-25,59
2020-11-01,47
2020-11-08,44
2020-11-15,48
2020-11-22,53
2020-11-29,35
2020-12-06,32
2020-12-13,45
2020-12-20,51
2020-12-27,44
2021-01-03,43
2021-01-10,48
2021-01-17,46
2021-01-24,55
2021-01-31,54
2021-02-07,64
2021-02-14,65
2021-02-21,66
2021-02-28,66
2021-03-07,55
2021-03-14,71
2021-03-21,66
2021-03-28,59
2021-04-04,58
2021-04-11,47
2021-04-18,59
2021-04-25,60
2021-05-02,53
2021-05-09,60
2021-05-16,52
2021-05-23,62
2021-05-30,77
2021-06-06,60
2021-06-13,53
2021-06-20,51
2021-06-27,52
2021-07-04,49
2021-07-11,44
2021-07-18,42
2021-07-25,49
2021-08-01,51
2021-08-08,49
2021-08-15,58
2021-08-22,56
2021-08-29,50
2021-09-05,56
2021-09-12,49
2021-09-19,70
2021-09-26,53
2021-10-03,49
2021-10-10,50
2021-10-17,54
2021-10-24,64
2021-10-31,50
2021-11-07,70
2021-11-14,68
2021-11-21,61
2021-11-28,66
2021-12-05,63
2021-12-12,43
2021-12-19,53
2021-12-26,61
2022-01-02,54
2022-01-09,46
2022-01-16,41
2022-01-23,60
2022-01-30,78
2022-02-06,62
2022-02-13,70
2022-02-20,79
2022-02-27,100
2022-03-06,91
2022-03-13,86
2022-03-20,87
2022-03-27,55
2022-04-03,54
2022-04-10,66
2022-04-17,57
2022-04-24,56
2022-05-01,46
2022-05-08,64
2022-05-15,69
2022-05-22,85
2022-05-29,73
2022-06-05,57
2022-06-12,75
2022-06-19,54
2022-06-26,58
2022-07-03,43
2022-07-10,42
2022-07-17,44
2022-07-24,44
2022-07-31,59
2022-08-07,53
2022-08-14,54
2022-08-21,57
2022-08-28,57
2022-09-04,58
2022-09-11,54
2022-09-18,59
2022-09-25,60
2022-10-02,52
2022-10-09,54
2022-10-16,57
2022-10-23,54
2022-10-30,54
2022-11-06,60
2022-11-13,55
2022-11-20,50
2022-11-27,64
2022-12-04,55
2022-12-11,65
2022-12-18,47
2022-12-25,47
2023-01-01,54
2023-01-08,57
2023-01-15,62
2023-01-22,74
2023-01-29,75
2023-02-05,64
2023-02-12,69
2023-02-19,71
2023-02-26,73
2023-03-05,75
2023-03-12,70
2023-03-19,62
2023-03-26,61
2023-04-02,59
2023-04-09,69
2023-04-16,53
2023-04-23,57
2023-04-30,75
2023-05-07,52
2023-05-14,66
2023-05-21,52
2023-05-28,68
2023-06-04,59
2023-06-11,48
2023-06-18,41
2023-06-25,41
2023-07-02,53
2023-07-09,46
2023-07-16,44
2023-07-23,46
2023-07-30,56
2023-08-06,67
2023-08-13,77
2023-08-20,69
2023-08-27,70
2023-09-03,54
2023-09-10,59
2023-09-17,67
2023-09-24,58
2023-10-01,61
2023-10-08,60
2023-10-15,62
2023-10-22,70
2023-10-29,65
2023-11-05,63
2023-11-12,66
2023-11-19,72
2023-11-26,79
2023-12-03,77
2023-12-10,71
2023-12-17,65
2023-12-24,68
2023-12-31,65
2024-01-07,78
