,Travel Agencies & Services
2018-12-30,94
2019-01-06,91
2019-01-13,83
2019-01-20,82
2019-01-27,82
2019-02-03,84
2019-02-10,87
2019-02-17,90
2019-02-24,88
2019-03-03,93
2019-03-10,87
2019-03-17,95
2019-03-24,84
2019-03-31,80
2019-04-07,77
2019-04-14,90
2019-04-21,72
2019-04-28,82
2019-05-05,81
2019-05-12,85
2019-05-19,77
2019-05-26,91
2019-06-02,83
2019-06-09,74
2019-06-16,77
2019-06-23,76
2019-06-30,74
2019-07-07,69
2019-07-14,72
2019-07-21,76
2019-07-28,77
2019-08-04,81
2019-08-11,74
2019-08-18,84
2019-08-25,81
2019-09-01,84
2019-09-08,87
2019-09-15,78
2019-09-22,100
2019-09-29,82
2019-10-06,74
2019-10-13,78
2019-10-20,70
2019-10-27,73
2019-11-03,71
2019-11-10,75
2019-11-17,65
2019-11-24,65
2019-12-01,67
2019-12-08,67
2019-12-15,66
2019-12-22,80
2019-12-29,82
2020-01-05,73
2020-01-12,70
2020-01-19,64
2020-01-26,66
2020-02-02,61
2020-02-09,60
2020-02-16,70
2020-02-23,61
2020-03-01,61
2020-03-08,61
2020-03-15,55
2020-03-22,44
2020-03-29,46
2020-04-05,47
2020-04-12,41
2020-04-19,34
2020-04-26,40
2020-05-03,38
2020-05-10,38
2020-05-17,39
2020-05-24,38
2020-05-31,36
2020-06-07,35
2020-06-14,35
2020-06-21,40
2020-06-28,40
2020-07-05,39
2020-07-12,40
2020-07-19,38
2020-07-26,48
2020-08-02,48
2020-08-09,47
2020-08-16,45
2020-08-23,44
2020-08-30,46
2020-09-06,45
2020-09-13,44
2020-09-20,45
2020-09-27,50
2020-10-04,50
2020-10-11,50
2020-10-18,57
2020-10-25,63
2020-11-01,49
2020-11-08,49
2020-11-15,52
2020-11-22,51
2020-11-29,53
2020-12-06,48
2020-12-13,53
2020-12-20,63
2020-12-27,66
2021-01-03,57
2021-01-10,59
2021-01-17,58
2021-01-24,59
2021-01-31,58
2021-02-07,65
2021-02-14,53
2021-02-21,52
2021-02-28,55
2021-03-07,56
2021-03-14,53
2021-03-21,59
2021-03-28,76
2021-04-04,66
2021-04-11,69
2021-04-18,57
2021-04-25,54
2021-05-02,49
2021-05-09,59
2021-05-16,53
2021-05-23,56
2021-05-30,56
2021-06-06,48
2021-06-13,49
2021-06-20,50
2021-06-27,50
2021-07-04,52
2021-07-11,52
2021-07-18,67
2021-07-25,57
2021-08-01,54
2021-08-08,59
2021-08-15,64
2021-08-22,59
2021-08-29,62
2021-09-05,58
2021-09-12,55
2021-09-19,55
2021-09-26,60
2021-10-03,63
2021-10-10,63
2021-10-17,66
2021-10-24,66
2021-10-31,57
2021-11-07,55
2021-11-14,65
2021-11-21,58
2021-11-28,55
2021-12-05,53
2021-12-12,55
2021-12-19,61
2021-12-26,60
2022-01-02,62
2022-01-09,61
2022-01-16,49
2022-01-23,58
2022-01-30,58
2022-02-06,61
2022-02-13,66
2022-02-20,67
2022-02-27,74
2022-03-06,76
2022-03-13,73
2022-03-20,68
2022-03-27,72
2022-04-03,68
2022-04-10,87
2022-04-17,72
2022-04-24,80
2022-05-01,78
2022-05-08,74
2022-05-15,78
2022-05-22,71
2022-05-29,71
2022-06-05,72
2022-06-12,71
2022-06-19,70
2022-06-26,72
2022-07-03,70
2022-07-10,72
2022-07-17,70
2022-07-24,74
2022-07-31,85
2022-08-07,93
2022-08-14,88
2022-08-21,74
2022-08-28,78
2022-09-04,66
2022-09-11,73
2022-09-18,78
2022-09-25,85
2022-10-02,86
2022-10-09,75
2022-10-16,76
2022-10-23,74
2022-10-30,76
2022-11-06,77
2022-11-13,67
2022-11-20,70
2022-11-27,66
2022-12-04,66
2022-12-11,69
2022-12-18,80
2022-12-25,84
2023-01-01,83
2023-01-08,84
2023-01-15,66
2023-01-22,63
2023-01-29,68
2023-02-05,70
2023-02-12,70
2023-02-19,67
2023-02-26,66
2023-03-05,70
2023-03-12,64
2023-03-19,73
2023-03-26,78
2023-04-02,93
2023-04-09,76
2023-04-16,72
2023-04-23,73
2023-04-30,80
2023-05-07,67
2023-05-14,69
2023-05-21,71
2023-05-28,71
2023-06-04,62
2023-06-11,69
2023-06-18,72
2023-06-25,81
2023-07-02,71
2023-07-09,67
2023-07-16,67
2023-07-23,70
2023-07-30,70
2023-08-06,68
2023-08-13,72
2023-08-20,66
2023-08-27,74
2023-09-03,78
2023-09-10,69
2023-09-17,76
2023-09-24,83
2023-10-01,73
2023-10-08,66
2023-10-15,70
2023-10-22,71
2023-10-29,66
2023-11-05,69
2023-11-12,74
2023-11-19,74
2023-11-26,77
2023-12-03,72
2023-12-10,70
2023-12-17,77
2023-12-24,85
2023-12-31,79
2024-01-07,74
