,Alcoholic Beverages
2018-12-30,40
2019-01-06,30
2019-01-13,30
2019-01-20,27
2019-01-27,26
2019-02-03,25
2019-02-10,26
2019-02-17,24
2019-02-24,22
2019-03-03,24
2019-03-10,23
2019-03-17,26
2019-03-24,23
2019-03-31,26
2019-04-07,22
2019-04-14,22
2019-04-21,26
2019-04-28,24
2019-05-05,27
2019-05-12,28
2019-05-19,23
2019-05-26,24
2019-06-02,28
2019-06-09,30
2019-06-16,26
2019-06-23,29
2019-06-30,24
2019-07-07,24
2019-07-14,25
2019-07-21,27
2019-07-28,24
2019-08-04,21
2019-08-11,23
2019-08-18,23
2019-08-25,23
2019-09-01,24
2019-09-08,24
2019-09-15,23
2019-09-22,24
2019-09-29,21
2019-10-06,22
2019-10-13,22
2019-10-20,21
2019-10-27,21
2019-11-03,22
2019-11-10,22
2019-11-17,22
2019-11-24,23
2019-12-01,22
2019-12-08,22
2019-12-15,23
2019-12-22,28
2019-12-29,34
2020-01-05,21
2020-01-12,22
2020-01-19,21
2020-01-26,21
2020-02-02,23
2020-02-09,23
2020-02-16,22
2020-02-23,22
2020-03-01,26
2020-03-08,31
2020-03-15,55
2020-03-22,100
2020-03-29,94
2020-04-05,83
2020-04-12,71
2020-04-19,65
2020-04-26,60
2020-05-03,75
2020-05-10,55
2020-05-17,52
2020-05-24,47
2020-05-31,43
2020-06-07,46
2020-06-14,42
2020-06-21,39
2020-06-28,42
2020-07-05,39
2020-07-12,38
2020-07-19,38
2020-07-26,35
2020-08-02,33
2020-08-09,31
2020-08-16,28
2020-08-23,28
2020-08-30,29
2020-09-06,29
2020-09-13,28
2020-09-20,27
2020-09-27,28
2020-10-04,28
2020-10-11,26
2020-10-18,26
2020-10-25,31
2020-11-01,27
2020-11-08,25
2020-11-15,29
2020-11-22,29
2020-11-29,28
2020-12-06,28
2020-12-13,26
2020-12-20,33
2020-12-27,37
2021-01-03,27
2021-01-10,26
2021-01-17,25
2021-01-24,24
2021-01-31,25
2021-02-07,24
2021-02-14,24
2021-02-21,27
2021-02-28,25
2021-03-07,25
2021-03-14,28
2021-03-21,30
2021-03-28,33
2021-04-04,36
2021-04-11,38
2021-04-18,44
2021-04-25,38
2021-05-02,38
2021-05-09,38
2021-05-16,36
2021-05-23,33
2021-05-30,32
2021-06-06,30
2021-06-13,28
2021-06-20,27
2021-06-27,27
2021-07-04,27
2021-07-11,26
2021-07-18,28
2021-07-25,27
2021-08-01,29
2021-08-08,28
2021-08-15,27
2021-08-22,27
2021-08-29,23
2021-09-05,25
2021-09-12,25
2021-09-19,25
2021-09-26,24
2021-10-03,23
2021-10-10,23
2021-10-17,23
2021-10-24,24
2021-10-31,23
2021-11-07,25
2021-11-14,25
2021-11-21,25
2021-11-28,30
2021-12-05,25
2021-12-12,25
2021-12-19,30
2021-12-26,39
2022-01-02,33
2022-01-09,31
2022-01-16,28
2022-01-23,28
2022-01-30,27
2022-02-06,26
2022-02-13,31
2022-02-20,29
2022-02-27,28
2022-03-06,27
2022-03-13,33
2022-03-20,28
2022-03-27,28
2022-04-03,28
2022-04-10,28
2022-04-17,30
2022-04-24,30
2022-05-01,28
2022-05-08,28
2022-05-15,28
2022-05-22,29
2022-05-29,30
2022-06-05,30
2022-06-12,30
2022-06-19,32
2022-06-26,32
2022-07-03,32
2022-07-10,30
2022-07-17,29
2022-07-24,28
2022-07-31,28
2022-08-07,28
2022-08-14,28
2022-08-21,27
2022-08-28,26
2022-09-04,27
2022-09-11,29
2022-09-18,30
2022-09-25,27
2022-10-02,28
2022-10-09,29
2022-10-16,29
2022-10-23,27
2022-10-30,29
2022-11-06,30
2022-11-13,29
2022-11-20,28
2022-11-27,28
2022-12-04,28
2022-12-11,31
2022-12-18,37
2022-12-25,46
2023-01-01,34
2023-01-08,28
2023-01-15,28
2023-01-22,27
2023-01-29,28
2023-02-05,28
2023-02-12,28
2023-02-19,28
2023-02-26,30
2023-03-05,32
2023-03-12,28
2023-03-19,29
2023-03-26,27
2023-04-02,29
2023-04-09,30
2023-04-16,28
2023-04-23,27
2023-04-30,28
2023-05-07,26
2023-05-14,27
2023-05-21,29
2023-05-28,28
2023-06-04,30
2023-06-11,30
2023-06-18,30
2023-06-25,31
2023-07-02,32
2023-07-09,30
2023-07-16,30
2023-07-23,31
2023-07-30,30
2023-08-06,30
2023-08-13,28
2023-08-20,27
2023-08-27,28
2023-09-03,26
2023-09-10,27
2023-09-17,27
2023-09-24,29
2023-10-01,34
2023-10-08,29
2023-10-15,25
2023-10-22,26
2023-10-29,27
2023-11-05,29
2023-11-12,28
2023-11-19,29
2023-11-26,29
2023-12-03,28
2023-12-10,31
2023-12-17,34
2023-12-24,41
2023-12-31,40
2024-01-07,30
