,Hotels & Accommodations
2018-12-30,75
2019-01-06,73
2019-01-13,70
2019-01-20,70
2019-01-27,70
2019-02-03,70
2019-02-10,70
2019-02-17,69
2019-02-24,68
2019-03-03,69
2019-03-10,64
2019-03-17,69
2019-03-24,61
2019-03-31,69
2019-04-07,72
2019-04-14,82
2019-04-21,49
2019-04-28,44
2019-05-05,56
2019-05-12,52
2019-05-19,60
2019-05-26,58
2019-06-02,58
2019-06-09,64
2019-06-16,63
2019-06-23,64
2019-06-30,66
2019-07-07,68
2019-07-14,73
2019-07-21,73
2019-07-28,75
2019-08-04,86
2019-08-11,81
2019-08-18,100
2019-08-25,78
2019-09-01,71
2019-09-08,76
2019-09-15,64
2019-09-22,61
2019-09-29,60
2019-10-06,65
2019-10-13,63
2019-10-20,63
2019-10-27,62
2019-11-03,64
2019-11-10,64
2019-11-17,66
2019-11-24,67
2019-12-01,71
2019-12-08,75
2019-12-15,84
2019-12-22,91
2019-12-29,83
2020-01-05,80
2020-01-12,68
2020-01-19,72
2020-01-26,66
2020-02-02,65
2020-02-09,63
2020-02-16,68
2020-02-23,65
2020-03-01,62
2020-03-08,54
2020-03-15,38
2020-03-22,34
2020-03-29,26
2020-04-05,26
2020-04-12,24
2020-04-19,24
2020-04-26,23
2020-05-03,24
2020-05-10,24
2020-05-17,27
2020-05-24,29
2020-05-31,33
2020-06-07,41
2020-06-14,53
2020-06-21,59
2020-06-28,60
2020-07-05,60
2020-07-12,48
2020-07-19,52
2020-07-26,60
2020-08-02,56
2020-08-09,61
2020-08-16,57
2020-08-23,59
2020-08-30,57
2020-09-06,56
2020-09-13,55
2020-09-20,51
2020-09-27,59
2020-10-04,44
2020-10-11,38
2020-10-18,37
2020-10-25,30
2020-11-01,29
2020-11-08,34
2020-11-15,37
2020-11-22,39
2020-11-29,45
2020-12-06,47
2020-12-13,55
2020-12-20,56
2020-12-27,52
2021-01-03,52
2021-01-10,50
2021-01-17,50
2021-01-24,51
2021-01-31,53
2021-02-07,48
2021-02-14,49
2021-02-21,58
2021-02-28,55
2021-03-07,60
2021-03-14,58
2021-03-21,60
2021-03-28,65
2021-04-04,67
2021-04-11,70
2021-04-18,65
2021-04-25,46
2021-05-02,42
2021-05-09,37
2021-05-16,38
2021-05-23,30
2021-05-30,37
2021-06-06,36
2021-06-13,37
2021-06-20,38
2021-06-27,40
2021-07-04,38
2021-07-11,50
2021-07-18,54
2021-07-25,50
2021-08-01,47
2021-08-08,39
2021-08-15,38
2021-08-22,32
2021-08-29,36
2021-09-05,34
2021-09-12,42
2021-09-19,43
2021-09-26,46
2021-10-03,52
2021-10-10,56
2021-10-17,63
2021-10-24,60
2021-10-31,63
2021-11-07,63
2021-11-14,65
2021-11-21,64
2021-11-28,67
2021-12-05,75
2021-12-12,81
2021-12-19,91
2021-12-26,79
2022-01-02,83
2022-01-09,95
2022-01-16,84
2022-01-23,81
2022-01-30,77
2022-02-06,75
2022-02-13,78
2022-02-20,78
2022-02-27,74
2022-03-06,75
2022-03-13,71
2022-03-20,66
2022-03-27,58
2022-04-03,66
2022-04-10,70
2022-04-17,68
2022-04-24,69
2022-05-01,70
2022-05-08,61
2022-05-15,62
2022-05-22,65
2022-05-29,67
2022-06-05,63
2022-06-12,64
2022-06-19,62
2022-06-26,61
2022-07-03,62
2022-07-10,62
2022-07-17,63
2022-07-24,66
2022-07-31,71
2022-08-07,80
2022-08-14,78
2022-08-21,83
2022-08-28,71
2022-09-04,78
2022-09-11,73
2022-09-18,70
2022-09-25,73
2022-10-02,72
2022-10-09,73
2022-10-16,69
2022-10-23,74
2022-10-30,79
2022-11-06,71
2022-11-13,69
2022-11-20,68
2022-11-27,70
2022-12-04,71
2022-12-11,76
2022-12-18,91
2022-12-25,81
2023-01-01,80
2023-01-08,93
2023-01-15,75
2023-01-22,76
2023-01-29,75
2023-02-05,75
2023-02-12,75
2023-02-19,73
2023-02-26,77
2023-03-05,65
2023-03-12,70
2023-03-19,74
2023-03-26,70
2023-04-02,69
2023-04-09,74
2023-04-16,73
2023-04-23,76
2023-04-30,74
2023-05-07,72
2023-05-14,68
2023-05-21,72
2023-05-28,76
2023-06-04,77
2023-06-11,73
2023-06-18,80
2023-06-25,81
2023-07-02,77
2023-07-09,80
2023-07-16,77
2023-07-23,84
2023-07-30,82
2023-08-06,86
2023-08-13,86
2023-08-20,85
2023-08-27,78
2023-09-03,72
2023-09-10,69
2023-09-17,75
2023-09-24,82
2023-10-01,71
2023-10-08,60
2023-10-15,74
2023-10-22,74
2023-10-29,72
2023-11-05,69
2023-11-12,73
2023-11-19,77
2023-11-26,76
2023-12-03,81
2023-12-10,80
2023-12-17,91
2023-12-24,92
2023-12-31,85
2024-01-07,84
