,Spas & Beauty Services
2018-12-30,81
2019-01-06,80
2019-01-13,72
2019-01-20,78
2019-01-27,76
2019-02-03,73
2019-02-10,78
2019-02-17,95
2019-02-24,76
2019-03-03,77
2019-03-10,80
2019-03-17,81
2019-03-24,77
2019-03-31,76
2019-04-07,70
2019-04-14,78
2019-04-21,80
2019-04-28,76
2019-05-05,78
2019-05-12,75
2019-05-19,79
2019-05-26,81
2019-06-02,86
2019-06-09,82
2019-06-16,82
2019-06-23,81
2019-06-30,78
2019-07-07,78
2019-07-14,83
2019-07-21,81
2019-07-28,82
2019-08-04,99
2019-08-11,77
2019-08-18,80
2019-08-25,76
2019-09-01,74
2019-09-08,79
2019-09-15,76
2019-09-22,79
2019-09-29,76
2019-10-06,73
2019-10-13,74
2019-10-20,67
2019-10-27,70
2019-11-03,77
2019-11-10,76
2019-11-17,77
2019-11-24,72
2019-12-01,76
2019-12-08,73
2019-12-15,73
2019-12-22,88
2019-12-29,80
2020-01-05,75
2020-01-12,73
2020-01-19,74
2020-01-26,76
2020-02-02,69
2020-02-09,69
2020-02-16,76
2020-02-23,70
2020-03-01,70
2020-03-08,62
2020-03-15,59
2020-03-22,50
2020-03-29,46
2020-04-05,47
2020-04-12,45
2020-04-19,44
2020-04-26,43
2020-05-03,45
2020-05-10,44
2020-05-17,46
2020-05-24,49
2020-05-31,49
2020-06-07,50
2020-06-14,50
2020-06-21,54
2020-06-28,56
2020-07-05,57
2020-07-12,56
2020-07-19,58
2020-07-26,58
2020-08-02,60
2020-08-09,55
2020-08-16,60
2020-08-23,59
2020-08-30,60
2020-09-06,63
2020-09-13,63
2020-09-20,64
2020-09-27,67
2020-10-04,67
2020-10-11,63
2020-10-18,63
2020-10-25,66
2020-11-01,61
2020-11-08,56
2020-11-15,67
2020-11-22,67
2020-11-29,66
2020-12-06,68
2020-12-13,72
2020-12-20,76
2020-12-27,75
2021-01-03,73
2021-01-10,65
2021-01-17,72
2021-01-24,69
2021-01-31,69
2021-02-07,69
2021-02-14,67
2021-02-21,69
2021-02-28,70
2021-03-07,67
2021-03-14,68
2021-03-21,68
2021-03-28,69
2021-04-04,67
2021-04-11,59
2021-04-18,56
2021-04-25,59
2021-05-02,54
2021-05-09,58
2021-05-16,56
2021-05-23,61
2021-05-30,62
2021-06-06,60
2021-06-13,65
2021-06-20,66
2021-06-27,65
2021-07-04,69
2021-07-11,71
2021-07-18,71
2021-07-25,71
2021-08-01,69
2021-08-08,73
2021-08-15,69
2021-08-22,69
2021-08-29,66
2021-09-05,65
2021-09-12,69
2021-09-19,68
2021-09-26,70
2021-10-03,65
2021-10-10,60
2021-10-17,62
2021-10-24,63
2021-10-31,56
2021-11-07,66
2021-11-14,63
2021-11-21,64
2021-11-28,63
2021-12-05,63
2021-12-12,64
2021-12-19,74
2021-12-26,70
2022-01-02,65
2022-01-09,58
2022-01-16,61
2022-01-23,63
2022-01-30,67
2022-02-06,65
2022-02-13,72
2022-02-20,72
2022-02-27,71
2022-03-06,75
2022-03-13,70
2022-03-20,73
2022-03-27,75
2022-04-03,76
2022-04-10,81
2022-04-17,78
2022-04-24,82
2022-05-01,90
2022-05-08,83
2022-05-15,77
2022-05-22,82
2022-05-29,89
2022-06-05,89
2022-06-12,85
2022-06-19,83
2022-06-26,97
2022-07-03,93
2022-07-10,87
2022-07-17,84
2022-07-24,84
2022-07-31,83
2022-08-07,79
2022-08-14,84
2022-08-21,81
2022-08-28,76
2022-09-04,82
2022-09-11,89
2022-09-18,86
2022-09-25,82
2022-10-02,85
2022-10-09,86
2022-10-16,80
2022-10-23,75
2022-10-30,88
2022-11-06,81
2022-11-13,80
2022-11-20,78
2022-11-27,79
2022-12-04,82
2022-12-11,85
2022-12-18,88
2022-12-25,100
2023-01-01,85
2023-01-08,80
2023-01-15,80
2023-01-22,83
2023-01-29,78
2023-02-05,84
2023-02-12,83
2023-02-19,84
2023-02-26,82
2023-03-05,83
2023-03-12,79
2023-03-19,79
2023-03-26,81
2023-04-02,84
2023-04-09,89
2023-04-16,85
2023-04-23,88
2023-04-30,88
2023-05-07,90
2023-05-14,86
2023-05-21,89
2023-05-28,91
2023-06-04,88
2023-06-11,87
2023-06-18,93
2023-06-25,89
2023-07-02,91
2023-07-09,88
2023-07-16,90
2023-07-23,87
2023-07-30,85
2023-08-06,89
2023-08-13,87
2023-08-20,85
2023-08-27,87
2023-09-03,84
2023-09-10,81
2023-09-17,81
2023-09-24,84
2023-10-01,81
2023-10-08,79
2023-10-15,75
2023-10-22,76
2023-10-29,76
2023-11-05,77
2023-11-12,77
2023-11-19,85
2023-11-26,85
2023-12-03,85
2023-12-10,90
2023-12-17,87
2023-12-24,100
2023-12-31,88
2024-01-07,81
