,Aviation
2018-12-30,68
2019-01-06,56
2019-01-13,45
2019-01-20,61
2019-01-27,76
2019-02-03,70
2019-02-10,73
2019-02-17,53
2019-02-24,67
2019-03-03,40
2019-03-10,100
2019-03-17,71
2019-03-24,50
2019-03-31,46
2019-04-07,38
2019-04-14,46
2019-04-21,45
2019-04-28,49
2019-05-05,53
2019-05-12,0
2019-05-19,44
2019-05-26,33
2019-06-02,44
2019-06-09,54
2019-06-16,58
2019-06-23,55
2019-06-30,29
2019-07-07,44
2019-07-14,60
2019-07-21,43
2019-07-28,65
2019-08-04,66
2019-08-11,56
2019-08-18,58
2019-08-25,61
2019-09-01,48
2019-09-08,45
2019-09-15,32
2019-09-22,35
2019-09-29,38
2019-10-06,71
2019-10-13,54
2019-10-20,85
2019-10-27,53
2019-11-03,57
2019-11-10,57
2019-11-17,74
2019-11-24,63
2019-12-01,52
2019-12-08,71
2019-12-15,67
2019-12-22,75
2019-12-29,60
2020-01-05,89
2020-01-12,70
2020-01-19,61
2020-01-26,56
2020-02-02,78
2020-02-09,71
2020-02-16,59
2020-02-23,62
2020-03-01,77
2020-03-08,68
2020-03-15,77
2020-03-22,45
2020-03-29,32
2020-04-05,42
2020-04-12,36
2020-04-19,21
2020-04-26,0
2020-05-03,28
2020-05-10,22
2020-05-17,29
2020-05-24,0
2020-05-31,27
2020-06-07,22
2020-06-14,25
2020-06-21,30
2020-06-28,25
2020-07-05,46
2020-07-12,31
2020-07-19,33
2020-07-26,0
2020-08-02,32
2020-08-09,31
2020-08-16,29
2020-08-23,23
2020-08-30,0
2020-09-06,25
2020-09-13,22
2020-09-20,23
2020-09-27,34
2020-10-04,27
2020-10-11,36
2020-10-18,36
2020-10-25,53
2020-11-01,50
2020-11-08,44
2020-11-15,31
2020-11-22,35
2020-11-29,34
2020-12-06,48
2020-12-13,41
2020-12-20,58
2020-12-27,48
2021-01-03,72
2021-01-10,83
2021-01-17,51
2021-01-24,40
2021-01-31,38
2021-02-07,52
2021-02-14,80
2021-02-21,68
2021-02-28,65
2021-03-07,78
2021-03-14,75
2021-03-21,65
2021-03-28,70
2021-04-04,46
2021-04-11,33
2021-04-18,41
2021-04-25,44
2021-05-02,84
2021-05-09,49
2021-05-16,32
2021-05-23,23
2021-05-30,30
2021-06-06,28
2021-06-13,37
2021-06-20,31
2021-06-27,40
2021-07-04,41
2021-07-11,45
2021-07-18,0
2021-07-25,38
2021-08-01,36
2021-08-08,60
2021-08-15,61
2021-08-22,41
2021-08-29,46
2021-09-05,61
2021-09-12,51
2021-09-19,34
2021-09-26,46
2021-10-03,59
2021-10-10,64
2021-10-17,48
2021-10-24,72
2021-10-31,69
2021-11-07,64
2021-11-14,88
2021-11-21,61
2021-11-28,58
2021-12-05,67
2021-12-12,45
2021-12-19,80
2021-12-26,82
2022-01-02,82
2022-01-09,73
2022-01-16,72
2022-01-23,53
2022-01-30,55
2022-02-06,81
2022-02-13,57
2022-02-20,60
2022-02-27,98
2022-03-06,58
2022-03-13,64
2022-03-20,88
2022-03-27,58
2022-04-03,55
2022-04-10,60
2022-04-17,55
2022-04-24,50
2022-05-01,45
2022-05-08,51
2022-05-15,51
2022-05-22,45
2022-05-29,68
2022-06-05,44
2022-06-12,57
2022-06-19,65
2022-06-26,61
2022-07-03,40
2022-07-10,27
2022-07-17,61
2022-07-24,38
2022-07-31,48
2022-08-07,39
2022-08-14,60
2022-08-21,48
2022-08-28,54
2022-09-04,52
2022-09-11,43
2022-09-18,34
2022-09-25,40
2022-10-02,42
2022-10-09,47
2022-10-16,52
2022-10-23,36
2022-10-30,86
2022-11-06,61
2022-11-13,61
2022-11-20,61
2022-11-27,54
2022-12-04,44
2022-12-11,38
2022-12-18,56
2022-12-25,71
2023-01-01,78
2023-01-08,90
2023-01-15,77
2023-01-22,77
2023-01-29,61
2023-02-05,60
2023-02-12,71
2023-02-19,67
2023-02-26,57
2023-03-05,74
2023-03-12,54
2023-03-19,55
2023-03-26,58
2023-04-02,58
2023-04-09,62
2023-04-16,0
2023-04-23,40
2023-04-30,62
2023-05-07,50
2023-05-14,55
2023-05-21,67
2023-05-28,53
2023-06-04,76
2023-06-11,54
2023-06-18,37
2023-06-25,45
2023-07-02,49
2023-07-09,56
2023-07-16,44
2023-07-23,65
2023-07-30,46
2023-08-06,50
2023-08-13,57
2023-08-20,74
2023-08-27,61
2023-09-03,64
2023-09-10,44
2023-09-17,56
2023-09-24,68
2023-10-01,64
2023-10-08,52
2023-10-15,64
2023-10-22,65
2023-10-29,100
2023-11-05,54
2023-11-12,76
2023-11-19,72
2023-11-26,84
2023-12-03,74
2023-12-10,67
2023-12-17,62
2023-12-24,81
2023-12-31,86
2024-01-07,93
