,Education
2018-12-30,46
2019-01-06,51
2019-01-13,47
2019-01-20,53
2019-01-27,52
2019-02-03,53
2019-02-10,54
2019-02-17,55
2019-02-24,54
2019-03-03,51
2019-03-10,55
2019-03-17,50
2019-03-24,53
2019-03-31,55
2019-04-07,54
2019-04-14,56
2019-04-21,55
2019-04-28,71
2019-05-05,87
2019-05-12,78
2019-05-19,80
2019-05-26,87
2019-06-02,88
2019-06-09,70
2019-06-16,68
2019-06-23,72
2019-06-30,68
2019-07-07,64
2019-07-14,66
2019-07-21,67
2019-07-28,60
2019-08-04,53
2019-08-11,47
2019-08-18,52
2019-08-25,55
2019-09-01,46
2019-09-08,49
2019-09-15,51
2019-09-22,51
2019-09-29,41
2019-10-06,40
2019-10-13,43
2019-10-20,40
2019-10-27,39
2019-11-03,44
2019-11-10,45
2019-11-17,48
2019-11-24,43
2019-12-01,46
2019-12-08,45
2019-12-15,44
2019-12-22,46
2019-12-29,49
2020-01-05,50
2020-01-12,46
2020-01-19,47
2020-01-26,48
2020-02-02,50
2020-02-09,52
2020-02-16,53
2020-02-23,53
2020-03-01,53
2020-03-08,46
2020-03-15,48
2020-03-22,30
2020-03-29,29
2020-04-05,30
2020-04-12,31
2020-04-19,31
2020-04-26,32
2020-05-03,34
2020-05-10,33
2020-05-17,38
2020-05-24,41
2020-05-31,41
2020-06-07,47
2020-06-14,43
2020-06-21,50
2020-06-28,50
2020-07-05,51
2020-07-12,87
2020-07-19,56
2020-07-26,61
2020-08-02,52
2020-08-09,56
2020-08-16,55
2020-08-23,51
2020-08-30,53
2020-09-06,57
2020-09-13,57
2020-09-20,52
2020-09-27,51
2020-10-04,54
2020-10-11,57
2020-10-18,50
2020-10-25,49
2020-11-01,48
2020-11-08,38
2020-11-15,44
2020-11-22,48
2020-11-29,48
2020-12-06,47
2020-12-13,52
2020-12-20,48
2020-12-27,50
2021-01-03,53
2021-01-10,47
2021-01-17,52
2021-01-24,48
2021-01-31,51
2021-02-07,51
2021-02-14,47
2021-02-21,52
2021-02-28,50
2021-03-07,47
2021-03-14,51
2021-03-21,50
2021-03-28,48
2021-04-04,54
2021-04-11,48
2021-04-18,39
2021-04-25,35
2021-05-02,34
2021-05-09,35
2021-05-16,38
2021-05-23,37
2021-05-30,45
2021-06-06,43
2021-06-13,47
2021-06-20,49
2021-06-27,49
2021-07-04,51
2021-07-11,62
2021-07-18,62
2021-07-25,74
2021-08-01,67
2021-08-08,64
2021-08-15,55
2021-08-22,60
2021-08-29,60
2021-09-05,60
2021-09-12,67
2021-09-19,66
2021-09-26,64
2021-10-03,56
2021-10-10,47
2021-10-17,54
2021-10-24,53
2021-10-31,38
2021-11-07,51
2021-11-14,51
2021-11-21,56
2021-11-28,56
2021-12-05,56
2021-12-12,57
2021-12-19,52
2021-12-26,50
2022-01-02,58
2022-01-09,53
2022-01-16,53
2022-01-23,53
2022-01-30,59
2022-02-06,55
2022-02-13,65
2022-02-20,67
2022-02-27,63
2022-03-06,69
2022-03-13,56
2022-03-20,67
2022-03-27,66
2022-04-03,66
2022-04-10,63
2022-04-17,62
2022-04-24,69
2022-05-01,64
2022-05-08,68
2022-05-15,65
2022-05-22,67
2022-05-29,73
2022-06-05,84
2022-06-12,88
2022-06-19,88
2022-06-26,90
2022-07-03,88
2022-07-10,88
2022-07-17,98
2022-07-24,84
2022-07-31,81
2022-08-07,68
2022-08-14,68
2022-08-21,81
2022-08-28,75
2022-09-04,70
2022-09-11,80
2022-09-18,75
2022-09-25,65
2022-10-02,58
2022-10-09,68
2022-10-16,60
2022-10-23,48
2022-10-30,67
2022-11-06,63
2022-11-13,62
2022-11-20,61
2022-11-27,59
2022-12-04,60
2022-12-11,64
2022-12-18,65
2022-12-25,64
2023-01-01,64
2023-01-08,61
2023-01-15,64
2023-01-22,61
2023-01-29,64
2023-02-05,67
2023-02-12,69
2023-02-19,71
2023-02-26,70
2023-03-05,62
2023-03-12,76
2023-03-19,72
2023-03-26,73
2023-04-02,69
2023-04-09,69
2023-04-16,65
2023-04-23,72
2023-04-30,80
2023-05-07,100
2023-05-14,97
2023-05-21,93
2023-05-28,80
2023-06-04,75
2023-06-11,84
2023-06-18,80
2023-06-25,78
2023-07-02,86
2023-07-09,88
2023-07-16,83
2023-07-23,77
2023-07-30,82
2023-08-06,80
2023-08-13,74
2023-08-20,72
2023-08-27,62
2023-09-03,64
2023-09-10,67
2023-09-17,64
2023-09-24,65
2023-10-01,62
2023-10-08,58
2023-10-15,51
2023-10-22,48
2023-10-29,56
2023-11-05,51
2023-11-12,43
2023-11-19,55
2023-11-26,59
2023-12-03,62
2023-12-10,67
2023-12-17,61
2023-12-24,63
2023-12-31,63
2024-01-07,63
