,Insurance
2018-12-30,64
2019-01-06,70
2019-01-13,55
2019-01-20,60
2019-01-27,61
2019-02-03,56
2019-02-10,62
2019-02-17,59
2019-02-24,71
2019-03-03,58
2019-03-10,65
2019-03-17,64
2019-03-24,69
2019-03-31,66
2019-04-07,53
2019-04-14,48
2019-04-21,56
2019-04-28,55
2019-05-05,71
2019-05-12,57
2019-05-19,59
2019-05-26,64
2019-06-02,65
2019-06-09,68
2019-06-16,64
2019-06-23,71
2019-06-30,67
2019-07-07,62
2019-07-14,70
2019-07-21,73
2019-07-28,73
2019-08-04,75
2019-08-11,57
2019-08-18,71
2019-08-25,74
2019-09-01,73
2019-09-08,66
2019-09-15,75
2019-09-22,71
2019-09-29,74
2019-10-06,71
2019-10-13,69
2019-10-20,68
2019-10-27,70
2019-11-03,66
2019-11-10,57
2019-11-17,66
2019-11-24,70
2019-12-01,70
2019-12-08,63
2019-12-15,76
2019-12-22,65
2019-12-29,75
2020-01-05,64
2020-01-12,66
2020-01-19,74
2020-01-26,74
2020-02-02,58
2020-02-09,70
2020-02-16,68
2020-02-23,74
2020-03-01,65
2020-03-08,66
2020-03-15,55
2020-03-22,43
2020-03-29,49
2020-04-05,47
2020-04-12,40
2020-04-19,46
2020-04-26,49
2020-05-03,44
2020-05-10,55
2020-05-17,58
2020-05-24,58
2020-05-31,53
2020-06-07,66
2020-06-14,74
2020-06-21,71
2020-06-28,75
2020-07-05,76
2020-07-12,63
2020-07-19,68
2020-07-26,77
2020-08-02,58
2020-08-09,76
2020-08-16,71
2020-08-23,72
2020-08-30,66
2020-09-06,71
2020-09-13,72
2020-09-20,68
2020-09-27,67
2020-10-04,61
2020-10-11,62
2020-10-18,60
2020-10-25,60
2020-11-01,48
2020-11-08,62
2020-11-15,59
2020-11-22,61
2020-11-29,64
2020-12-06,62
2020-12-13,64
2020-12-20,65
2020-12-27,64
2021-01-03,65
2021-01-10,59
2021-01-17,67
2021-01-24,65
2021-01-31,61
2021-02-07,73
2021-02-14,70
2021-02-21,68
2021-02-28,71
2021-03-07,60
2021-03-14,70
2021-03-21,74
2021-03-28,75
2021-04-04,75
2021-04-11,43
2021-04-18,72
2021-04-25,70
2021-05-02,72
2021-05-09,70
2021-05-16,72
2021-05-23,65
2021-05-30,75
2021-06-06,78
2021-06-13,74
2021-06-20,78
2021-06-27,85
2021-07-04,78
2021-07-11,77
2021-07-18,75
2021-07-25,85
2021-08-01,71
2021-08-08,76
2021-08-15,77
2021-08-22,67
2021-08-29,69
2021-09-05,70
2021-09-12,77
2021-09-19,72
2021-09-26,86
2021-10-03,80
2021-10-10,67
2021-10-17,63
2021-10-24,79
2021-10-31,75
2021-11-07,78
2021-11-14,76
2021-11-21,80
2021-11-28,80
2021-12-05,73
2021-12-12,68
2021-12-19,74
2021-12-26,85
2022-01-02,99
2022-01-09,80
2022-01-16,73
2022-01-23,97
2022-01-30,93
2022-02-06,84
2022-02-13,91
2022-02-20,96
2022-02-27,93
2022-03-06,92
2022-03-13,82
2022-03-20,88
2022-03-27,78
2022-04-03,75
2022-04-10,47
2022-04-17,65
2022-04-24,92
2022-05-01,79
2022-05-08,68
2022-05-15,71
2022-05-22,83
2022-05-29,90
2022-06-05,75
2022-06-12,67
2022-06-19,76
2022-06-26,92
2022-07-03,76
2022-07-10,71
2022-07-17,75
2022-07-24,85
2022-07-31,88
2022-08-07,72
2022-08-14,89
2022-08-21,89
2022-08-28,93
2022-09-04,76
2022-09-11,84
2022-09-18,91
2022-09-25,91
2022-10-02,83
2022-10-09,78
2022-10-16,83
2022-10-23,88
2022-10-30,87
2022-11-06,70
2022-11-13,84
2022-11-20,85
2022-11-27,88
2022-12-04,76
2022-12-11,84
2022-12-18,81
2022-12-25,93
2023-01-01,74
2023-01-08,85
2023-01-15,85
2023-01-22,92
2023-01-29,87
2023-02-05,84
2023-02-12,86
2023-02-19,90
2023-02-26,98
2023-03-05,84
2023-03-12,86
2023-03-19,82
2023-03-26,90
2023-04-02,70
2023-04-09,58
2023-04-16,72
2023-04-23,89
2023-04-30,81
2023-05-07,87
2023-05-14,91
2023-05-21,86
2023-05-28,91
2023-06-04,82
2023-06-11,85
2023-06-18,93
2023-06-25,96
2023-07-02,88
2023-07-09,99
2023-07-16,88
2023-07-23,92
2023-07-30,93
2023-08-06,99
2023-08-13,100
2023-08-20,94
2023-08-27,93
2023-09-03,90
2023-09-10,87
2023-09-17,86
2023-09-24,88
2023-10-01,88
2023-10-08,88
2023-10-15,85
2023-10-22,77
2023-10-29,87
2023-11-05,79
2023-11-12,76
2023-11-19,79
2023-11-26,91
2023-12-03,79
2023-12-10,86
2023-12-17,84
2023-12-24,78
2023-12-31,80
2024-01-07,87
