,Economy News
2018-12-30,30
2019-01-06,31
2019-01-13,30
2019-01-20,32
2019-01-27,35
2019-02-03,33
2019-02-10,34
2019-02-17,33
2019-02-24,39
2019-03-03,31
2019-03-10,31
2019-03-17,31
2019-03-24,38
2019-03-31,35
2019-04-07,31
2019-04-14,28
2019-04-21,29
2019-04-28,31
2019-05-05,37
2019-05-12,34
2019-05-19,34
2019-05-26,38
2019-06-02,43
2019-06-09,39
2019-06-16,36
2019-06-23,35
2019-06-30,33
2019-07-07,37
2019-07-14,36
2019-07-21,36
2019-07-28,43
2019-08-04,43
2019-08-11,38
2019-08-18,47
2019-08-25,60
2019-09-01,82
2019-09-08,50
2019-09-15,50
2019-09-22,42
2019-09-29,39
2019-10-06,32
2019-10-13,38
2019-10-20,33
2019-10-27,32
2019-11-03,36
2019-11-10,36
2019-11-17,35
2019-11-24,47
2019-12-01,44
2019-12-08,37
2019-12-15,44
2019-12-22,37
2019-12-29,42
2020-01-05,43
2020-01-12,40
2020-01-19,47
2020-01-26,45
2020-02-02,40
2020-02-09,39
2020-02-16,39
2020-02-23,39
2020-03-01,65
2020-03-08,55
2020-03-15,61
2020-03-22,72
2020-03-29,68
2020-04-05,50
2020-04-12,47
2020-04-19,41
2020-04-26,43
2020-05-03,41
2020-05-10,61
2020-05-17,45
2020-05-24,39
2020-05-31,44
2020-06-07,38
2020-06-14,37
2020-06-21,39
2020-06-28,39
2020-07-05,38
2020-07-12,36
2020-07-19,39
2020-07-26,40
2020-08-02,40
2020-08-09,42
2020-08-16,42
2020-08-23,44
2020-08-30,100
2020-09-06,55
2020-09-13,43
2020-09-20,43
2020-09-27,38
2020-10-04,36
2020-10-11,40
2020-10-18,36
2020-10-25,35
2020-11-01,34
2020-11-08,34
2020-11-15,33
2020-11-22,40
2020-11-29,40
2020-12-06,43
2020-12-13,51
2020-12-20,56
2020-12-27,49
2021-01-03,44
2021-01-10,39
2021-01-17,42
2021-01-24,41
2021-01-31,46
2021-02-07,39
2021-02-14,43
2021-02-21,43
2021-02-28,46
2021-03-07,42
2021-03-14,44
2021-03-21,40
2021-03-28,40
2021-04-04,40
2021-04-11,38
2021-04-18,34
2021-04-25,34
2021-05-02,37
2021-05-09,39
2021-05-16,39
2021-05-23,40
2021-05-30,52
2021-06-06,46
2021-06-13,42
2021-06-20,42
2021-06-27,43
2021-07-04,43
2021-07-11,42
2021-07-18,40
2021-07-25,43
2021-08-01,43
2021-08-08,47
2021-08-15,44
2021-08-22,39
2021-08-29,47
2021-09-05,37
2021-09-12,40
2021-09-19,39
2021-09-26,39
2021-10-03,38
2021-10-10,32
2021-10-17,38
2021-10-24,40
2021-10-31,30
2021-11-07,35
2021-11-14,35
2021-11-21,37
2021-11-28,38
2021-12-05,36
2021-12-12,40
2021-12-19,37
2021-12-26,35
2022-01-02,41
2022-01-09,39
2022-01-16,38
2022-01-23,43
2022-01-30,46
2022-02-06,41
2022-02-13,47
2022-02-20,54
2022-02-27,54
2022-03-06,48
2022-03-13,47
2022-03-20,47
2022-03-27,50
2022-04-03,50
2022-04-10,46
2022-04-17,49
2022-04-24,47
2022-05-01,46
2022-05-08,53
2022-05-15,48
2022-05-22,46
2022-05-29,45
2022-06-05,45
2022-06-12,55
2022-06-19,54
2022-06-26,55
2022-07-03,52
2022-07-10,59
2022-07-17,51
2022-07-24,59
2022-07-31,56
2022-08-07,48
2022-08-14,49
2022-08-21,49
2022-08-28,54
2022-09-04,51
2022-09-11,61
2022-09-18,55
2022-09-25,48
2022-10-02,41
2022-10-09,54
2022-10-16,45
2022-10-23,36
2022-10-30,44
2022-11-06,50
2022-11-13,52
2022-11-20,56
2022-11-27,47
2022-12-04,49
2022-12-11,50
2022-12-18,48
2022-12-25,48
2023-01-01,50
2023-01-08,49
2023-01-15,52
2023-01-22,49
2023-01-29,55
2023-02-05,51
2023-02-12,48
2023-02-19,49
2023-02-26,46
2023-03-05,42
2023-03-12,55
2023-03-19,47
2023-03-26,45
2023-04-02,41
2023-04-09,47
2023-04-16,42
2023-04-23,40
2023-04-30,40
2023-05-07,41
2023-05-14,41
2023-05-21,43
2023-05-28,45
2023-06-04,40
2023-06-11,44
2023-06-18,41
2023-06-25,47
2023-07-02,42
2023-07-09,45
2023-07-16,46
2023-07-23,45
2023-07-30,50
2023-08-06,47
2023-08-13,44
2023-08-20,43
2023-08-27,42
2023-09-03,40
2023-09-10,45
2023-09-17,39
2023-09-24,43
2023-10-01,42
2023-10-08,41
2023-10-15,41
2023-10-22,38
2023-10-29,40
2023-11-05,36
2023-11-12,33
2023-11-19,45
2023-11-26,41
2023-12-03,43
2023-12-10,47
2023-12-17,48
2023-12-24,46
2023-12-31,46
2024-01-07,46
