,Vehicle Brands
2014-12-28,43.0
2015-01-04,38.0
2015-01-11,39.0
2015-01-18,43.0
2015-01-25,45.0
2015-02-01,46.0
2015-02-08,43.0
2015-02-15,49.0
2015-02-22,43.0
2015-03-01,45.0
2015-03-08,46.0
2015-03-15,43.0
2015-03-22,46.0
2015-03-29,48.0
2015-04-05,46.0
2015-04-12,43.0
2015-04-19,50.0
2015-04-26,48.0
2015-05-03,50.0
2015-05-10,54.0
2015-05-17,52.0
2015-05-24,49.0
2015-05-31,52.0
2015-06-07,51.0
2015-06-14,53.0
2015-06-21,49.0
2015-06-28,54.0
2015-07-05,56.0
2015-07-12,54.0
2015-07-19,56.0
2015-07-26,48.0
2015-08-02,54.0
2015-08-09,52.0
2015-08-16,50.0
2015-08-23,50.0
2015-08-30,50.0
2015-09-06,49.0
2015-09-13,50.0
2015-09-20,49.0
2015-09-27,46.0
2015-10-04,50.0
2015-10-11,51.0
2015-10-18,44.0
2015-10-25,46.0
2015-11-01,45.0
2015-11-08,45.0
2015-11-15,46.0
2015-11-22,45.0
2015-11-29,47.0
2015-12-06,49.0
2015-12-13,49.0
2015-12-20,51.0
2015-12-27,51.0
2016-01-03,45.0
2016-01-10,52.0
2016-01-17,48.0
2016-01-24,53.0
2016-01-31,52.0
2016-02-07,52.0
2016-02-14,52.0
2016-02-21,48.0
2016-02-28,51.0
2016-03-06,50.0
2016-03-13,59.0
2016-03-20,57.0
2016-03-27,52.0
2016-04-03,48.0
2016-04-10,48.0
2016-04-17,51.0
2016-04-24,56.0
2016-05-01,51.0
2016-05-08,51.0
2016-05-15,49.0
2016-05-22,54.0
2016-05-29,61.0
2016-06-05,55.0
2016-06-12,53.0
2016-06-19,54.0
2016-06-26,55.0
2016-07-03,56.0
2016-07-10,54.0
2016-07-17,78.0
2016-07-24,65.0
2016-07-31,59.0
2016-08-07,62.0
2016-08-14,60.0
2016-08-21,50.0
2016-08-28,60.0
2016-09-04,57.0
2016-09-11,57.0
2016-09-18,57.0
2016-09-25,59.0
2016-10-02,59.0
2016-10-09,65.0
2016-10-16,61.0
2016-10-23,60.0
2016-10-30,53.0
2016-11-06,53.0
2016-11-13,56.0
2016-11-20,54.0
2016-11-27,59.0
2016-12-04,50.0
2016-12-11,53.0
2016-12-18,52.0
2016-12-25,56.0
2017-01-01,59.0
2017-01-08,54.0
2017-01-15,53.0
2017-01-22,57.0
2017-01-29,55.0
2017-02-05,53.0
2017-02-12,55.0
2017-02-19,59.0
2017-02-26,56.0
2017-03-05,54.0
2017-03-12,58.0
2017-03-19,58.0
2017-03-26,74.0
2017-04-02,53.0
2017-04-09,52.0
2017-04-16,54.0
2017-04-23,52.0
2017-04-30,52.0
2017-05-07,50.0
2017-05-14,51.0
2017-05-21,52.0
2017-05-28,50.0
2017-06-04,51.0
2017-06-11,54.0
2017-06-18,55.0
2017-06-25,55.0
2017-07-02,55.0
2017-07-09,55.0
2017-07-16,60.0
2017-07-23,55.0
2017-07-30,56.0
2017-08-06,59.0
2017-08-13,56.0
2017-08-20,55.0
2017-08-27,55.0
2017-09-03,55.0
2017-09-10,55.0
2017-09-17,55.0
2017-09-24,59.0
2017-10-01,52.0
2017-10-08,51.0
2017-10-15,53.0
2017-10-22,52.0
2017-10-29,48.0
2017-11-05,56.0
2017-11-12,69.0
2017-11-19,59.0
2017-11-26,59.0
2017-12-03,57.0
2017-12-10,52.0
2017-12-17,57.0
2017-12-24,59.0
2017-12-31,61.0
2018-01-07,58.0
2018-01-14,59.0
2018-01-21,64.0
2018-01-28,59.0
2018-02-04,54.0
2018-02-11,53.0
2018-02-18,57.0
2018-02-25,56.0
2018-03-04,45.0
2018-03-11,52.0
2018-03-18,56.0
2018-03-25,61.0
2018-04-01,54.0
2018-04-08,47.0
2018-04-15,49.0
2018-04-22,55.0
2018-04-29,56.0
2018-05-06,57.0
2018-05-13,55.0
2018-05-20,59.0
2018-05-27,59.0
2018-06-03,60.0
2018-06-10,65.0
2018-06-17,65.0
2018-06-24,61.0
2018-07-01,63.0
2018-07-08,61.0
2018-07-15,62.0
2018-07-22,61.0
2018-07-29,66.0
2018-08-05,63.0
