,Outsourcing
2018-12-30,26
2019-01-06,26
2019-01-13,26
2019-01-20,21
2019-01-27,22
2019-02-03,20
2019-02-10,20
2019-02-17,25
2019-02-24,22
2019-03-03,23
2019-03-10,25
2019-03-17,21
2019-03-24,24
2019-03-31,22
2019-04-07,22
2019-04-14,22
2019-04-21,23
2019-04-28,19
2019-05-05,22
2019-05-12,29
2019-05-19,33
2019-05-26,28
2019-06-02,24
2019-06-09,28
2019-06-16,28
2019-06-23,22
2019-06-30,27
2019-07-07,26
2019-07-14,22
2019-07-21,25
2019-07-28,27
2019-08-04,23
2019-08-11,26
2019-08-18,28
2019-08-25,27
2019-09-01,29
2019-09-08,25
2019-09-15,27
2019-09-22,19
2019-09-29,24
2019-10-06,24
2019-10-13,34
2019-10-20,28
2019-10-27,30
2019-11-03,22
2019-11-10,21
2019-11-17,22
2019-11-24,24
2019-12-01,38
2019-12-08,39
2019-12-15,49
2019-12-22,39
2019-12-29,34
2020-01-05,39
2020-01-12,30
2020-01-19,36
2020-01-26,34
2020-02-02,37
2020-02-09,30
2020-02-16,32
2020-02-23,40
2020-03-01,31
2020-03-08,34
2020-03-15,36
2020-03-22,33
2020-03-29,35
2020-04-05,43
2020-04-12,40
2020-04-19,45
2020-04-26,34
2020-05-03,36
2020-05-10,36
2020-05-17,41
2020-05-24,39
2020-05-31,42
2020-06-07,38
2020-06-14,50
2020-06-21,39
2020-06-28,43
2020-07-05,45
2020-07-12,45
2020-07-19,41
2020-07-26,48
2020-08-02,47
2020-08-09,46
2020-08-16,50
2020-08-23,46
2020-08-30,47
2020-09-06,50
2020-09-13,47
2020-09-20,49
2020-09-27,45
2020-10-04,45
2020-10-11,48
2020-10-18,49
2020-10-25,46
2020-11-01,44
2020-11-08,50
2020-11-15,53
2020-11-22,48
2020-11-29,45
2020-12-06,54
2020-12-13,47
2020-12-20,50
2020-12-27,58
2021-01-03,57
2021-01-10,55
2021-01-17,56
2021-01-24,48
2021-01-31,51
2021-02-07,57
2021-02-14,50
2021-02-21,52
2021-02-28,50
2021-03-07,52
2021-03-14,51
2021-03-21,55
2021-03-28,57
2021-04-04,56
2021-04-11,50
2021-04-18,60
2021-04-25,55
2021-05-02,57
2021-05-09,66
2021-05-16,69
2021-05-23,64
2021-05-30,62
2021-06-06,64
2021-06-13,75
2021-06-20,66
2021-06-27,71
2021-07-04,75
2021-07-11,69
2021-07-18,66
2021-07-25,64
2021-08-01,69
2021-08-08,76
2021-08-15,70
2021-08-22,77
2021-08-29,66
2021-09-05,58
2021-09-12,56
2021-09-19,54
2021-09-26,55
2021-10-03,61
2021-10-10,56
2021-10-17,55
2021-10-24,67
2021-10-31,71
2021-11-07,70
2021-11-14,63
2021-11-21,53
2021-11-28,57
2021-12-05,54
2021-12-12,61
2021-12-19,73
2021-12-26,69
2022-01-02,70
2022-01-09,73
2022-01-16,64
2022-01-23,62
2022-01-30,70
2022-02-06,69
2022-02-13,67
2022-02-20,71
2022-02-27,68
2022-03-06,69
2022-03-13,72
2022-03-20,69
2022-03-27,63
2022-04-03,61
2022-04-10,55
2022-04-17,67
2022-04-24,73
2022-05-01,65
2022-05-08,61
2022-05-15,67
2022-05-22,63
2022-05-29,73
2022-06-05,72
2022-06-12,78
2022-06-19,84
2022-06-26,90
2022-07-03,74
2022-07-10,70
2022-07-17,75
2022-07-24,77
2022-07-31,75
2022-08-07,77
2022-08-14,66
2022-08-21,69
2022-08-28,61
2022-09-04,60
2022-09-11,55
2022-09-18,55
2022-09-25,44
2022-10-02,45
2022-10-09,43
2022-10-16,42
2022-10-23,34
2022-10-30,38
2022-11-06,35
2022-11-13,40
2022-11-20,37
2022-11-27,34
2022-12-04,36
2022-12-11,39
2022-12-18,44
2022-12-25,36
2023-01-01,39
2023-01-08,41
2023-01-15,39
2023-01-22,38
2023-01-29,38
2023-02-05,39
2023-02-12,41
2023-02-19,42
2023-02-26,39
2023-03-05,37
2023-03-12,40
2023-03-19,40
2023-03-26,40
2023-04-02,42
2023-04-09,39
2023-04-16,39
2023-04-23,39
2023-04-30,44
2023-05-07,48
2023-05-14,56
2023-05-21,57
2023-05-28,61
2023-06-04,60
2023-06-11,66
2023-06-18,74
2023-06-25,67
2023-07-02,71
2023-07-09,77
2023-07-16,75
2023-07-23,73
2023-07-30,70
2023-08-06,79
2023-08-13,86
2023-08-20,80
2023-08-27,79
2023-09-03,82
2023-09-10,79
2023-09-17,88
2023-09-24,93
2023-10-01,80
2023-10-08,91
2023-10-15,80
2023-10-22,78
2023-10-29,83
2023-11-05,82
2023-11-12,81
2023-11-19,88
2023-11-26,89
2023-12-03,92
2023-12-10,90
2023-12-17,100
2023-12-24,100
2023-12-31,98
2024-01-07,90
